Title,Max Players,Multiplatform?,Online?,Genres,Licensed?,Comp_Time_Main,Review Score,Year,Publishers
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,True,12.0,83,2006,Unknown
Red Steel,4,True,True,Action,True,8.25,63,2006,Ubisoft
Metroid Prime: Hunters,1,True,True,Action,True,8.63,85,2006,Nintendo
LEGO Star Wars II: The Original Trilogy,2,True,True,Action,True,12.0,81,2006,Unknown
NBA 2K7 ,1,True,True,Sports,True,8.18,84,2006,2K
SEGA Genesis Collection,2,True,True,Action,True,-100.0,82,2006,Sega
Call of Duty 3,1,True,True,Action,True,8.0,80,2006,Activision
NBA Live 07,1,True,True,Sports,True,-100.0,64,2006,EA
Madden NFL 07,2,True,True,Sports,True,-100.0,76,2006,EA
SpongeBob SquarePants: The Yellow Avenger,1,True,True,Action,True,8.0,48,2006,THQ
Madden NFL 07,4,True,True,Sports,True,-100.0,81,2006,EA
Fight Night Round 3,2,True,True,Action,True,11.0,74,2006,EA
Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,75,2006,EA
Need for Speed: Carbon,2,True,True,Racing / Driving,True,13.0,67,2006,EA
WWE SmackDown vs. Raw 2007,4,True,True,Sports,True,9.0,81,2006,THQ
Tiger Woods PGA Tour 07,1,True,True,Sports,True,10.0,80,2006,EA
Viva Pi$?ata,4,True,True,Simulation,True,19.0,84,2006,Microsoft
SpongeBob Squarepants: Creature from the Krusty Krab,1,True,True,Action,True,5.33,57,2006,THQ
Tony Hawk's Project 8,2,True,True,Sports,True,17.0,68,2006,Activision
Tony Hawk's Project 8,2,True,True,Sports,True,17.0,81,2006,Activision
NBA LIVE 07 ,1,True,True,Sports,True,-100.0,59,2006,EA
Excite Truck,2,True,True,Racing / Driving,True,7.0,72,2006,Nintendo
Harvest Moon DS,1,True,True,Role-Playing (RPG),True,45.13,67,2006,Unknown
Star Fox Command,1,True,True,Action,True,3.0,76,2006,Nintendo
Metal Gear Solid: Portable Ops,1,True,True,Action,True,11.58,87,2006,Konami
Marvel Ultimate Alliance,4P,True,True,Action,True,12.37,73,2006,Activision
Blazing Angels: Squadrons of WWII,2,True,True,Action,True,-100.0,66,2006,Ubisoft
Major League Baseball 2K6,2,True,True,Sports,True,-100.0,66,2006,2K
NCAA Football 07,1,True,True,Sports,True,-100.0,75,2006,EA
MLB 06: The Show,2,True,True,Sports,True,-100.0,83,2006,Sony
Blazing Angels: Squadrons of WWII,2,True,True,Action,True,-100.0,67,2006,Ubisoft
WWE SmackDown vs. Raw 2007,4,True,True,Sports,True,9.0,78,2006,THQ
Rune Factory: A Fantasy Harvest Moon,1,True,True,Role-Playing (RPG),True,-100.0,78,2006,Unknown
Marvel Ultimate Alliance,1,True,True,Action,True,12.37,81,2006,Activision
Marvel Ultimate Alliance,4,True,True,Action,True,12.37,78,2006,Activision
Tiger Woods PGA Tour 07,4,True,True,Sports,True,10.0,81,2006,EA
Ace Combat X: Skies of Deception,1,True,True,Action,True,3.75,75,2006,Namco
Killzone: Liberation,1,True,True,Action,True,7.9,77,2006,Sony
F.E.A.R.: First Encounter Assault Recon,1,True,True,Action,True,8.42,85,2006,Unknown
NBA 2K7,7,True,True,Sports,True,8.18,80,2006,2K
Tony Hawk's Project 8,2,True,True,Sports,True,17.0,76,2006,Activision
Avatar: The Last Airbender,1,True,True,Action,True,6.0,64,2006,THQ
Castlevania: Portrait of Ruin,1,True,True,Action,True,10.53,85,2006,Konami
Hitman: Blood Money,1,True,True,Action,True,12.0,82,2006,Eidos
Rockstar Games presents Table Tennis,2,True,True,Sports,True,6.0,81,2006,Rockstar
Trauma Center: Second Opinion,1,True,True,Action,True,8.5,80,2006,Nintendo
Tenchu Z,1,True,True,Action,True,20.88,56,2006,Microsoft
Elite Beat Agents,1,True,True,Action,True,4.0,87,2006,Nintendo
Street Fighter Alpha 3 MAX,1,True,True,Action,True,2.0,80,2006,Capcom
Blue Dragon,1,True,True,Role-Playing (RPG),True,46.03,79,2006,Microsoft
The Lord of the Rings: The Battle for Middle Ea...,1,True,True,Strategy,True,14.5,79,2006,EA
Prey,1,True,True,Action,True,7.95,79,2006,2K
Over the Hedge,1,True,True,Adventure,True,2.0,71,2006,Activision
Capcom Classics Collection Reloaded,1,True,True,Action,True,-100.0,75,2006,Capcom
Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,True,2.08,52,2006,Unknown
NHL 07 ,1,True,True,Sports,True,10.0,79,2006,EA
Monster Hunter Freedom,1,True,True,Action,True,60.0,71,2006,Capcom
Chromehounds,1,True,True,Action,True,10.0,71,2006,Sega
Test Drive Unlimited,1,True,True,Racing / Driving,True,30.0,82,2006,Atari
Dragon Ball Z: Budokai Tenkaichi 2,2,True,True,Action,True,10.0,72,2006,Atari
Dragon Quest Monsters: Joker,1,True,True,Role-Playing (RPG),True,37.3,75,2006,SquareEnix
Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,True,2.08,63,2006,Unknown
NFL Street 3,1,True,True,Action,True,-100.0,68,2006,EA
Syphon Filter: Dark Mirror,1,True,True,Action,True,7.0,87,2006,Sony
NBA 07,4,True,True,Sports,True,-100.0,63,2006,Sony
Ridge Racer 7,2,True,True,Racing / Driving,True,10.0,78,2006,"Namco,Sony"
The Outfit,2,True,True,Action,True,8.0,70,2006,THQ
Elebits,4,True,True,Action,True,9.0,75,2006,Konami
Tony Hawk's Downhill Jam,1,True,True,Racing / Driving,True,-100.0,76,2006,Activision
The Sims 2: Pets,1,True,True,Simulation,True,-100.0,57,2006,EA
Tiger Woods PGA Tour 07,1,True,True,Sports,True,10.0,78,2006,EA
Thrillville,1,True,True,Simulation,True,-100.0,72,2006,Atari
The Godfather: The Game,1,True,True,Action,True,15.0,77,2006,EA
Rampage: Total Destruction,4,True,True,Action,True,5.0,46,2006,Midway
College Hoops 2K7,4,True,True,Sports,True,-100.0,82,2006,2K
Far Cry: Instincts - Predator,4,True,True,Action,True,14.98,78,2006,Ubisoft
Full Auto,2,True,True,Action,True,5.0,70,2006,Sega
Age of Empires: The Age of Kings,1,True,True,Strategy,True,46.0,80,2006,Unknown
Need for Speed: Carbon - Own the City,1,True,True,Action,True,15.72,70,2006,EA
Brothers in Arms: D-Day,1,True,True,Action,True,8.0,65,2006,Ubisoft
Family Guy Video Game!,1,True,True,Action,True,5.88,51,2006,2K
Superman Returns,1,True,True,Action,True,7.0,51,2006,EA
Over G Fighters,2,True,True,Simulation,True,-100.0,49,2006,Ubisoft
Final Fantasy XI Online,1,True,True,Action,True,-100.0,66,2006,SquareEnix
Mystery Dungeon: Shiren the Wanderer,1,True,True,Action,True,22.0,69,2006,Sega
Phoenix Wright: Ace Attorney - Justice for All,1,True,True,Adventure,True,17.5,76,2006,Capcom
Justice League Heroes,1,True,True,Action,True,5.0,72,2006,Unknown
Valhalla Knights,1,True,True,Action,True,-100.0,53,2006,Unknown
Genji: Days of the Blade,1,True,True,Action,True,12.0,55,2006,Sony
Top Spin 2,4,True,True,Sports,True,10.0,75,2006,2K
Field Commander,2,True,True,Strategy,True,13.88,77,2006,"Sony,Ubisoft"
Children of Mana,1,True,True,Action,True,15.0,65,2006,"Nintendo,SquareEnix"
Valkyrie Profile: Lenneth,1,True,True,Role-Playing (RPG),True,29.98,80,2006,SquareEnix
Monster House,1,True,True,Action,True,-100.0,62,2006,THQ
Enchanted Arms,1,True,True,Role-Playing (RPG),True,21.83,69,2006,Ubisoft
NHL 07,4,True,True,Sports,True,10.0,76,2006,EA
Bust-a-Move Deluxe,2,True,True,Strategy,True,-100.0,73,2006,Unknown
Full Auto 2: Battlelines,2,True,True,Action,True,8.75,67,2006,Sega
Blitz: The League,2,True,True,Sports,True,15.0,69,2006,Midway
Star Trek Legacy,2,True,True,Action,True,11.0,64,2006,Ubisoft
Eragon,1,True,True,Action,True,6.0,63,2006,Unknown
Master of Illusion,1,True,True,Strategy,True,-100.0,69,2006,Nintendo
Mega Man ZX,1,True,True,Action,True,8.95,76,2006,Capcom
Untold Legends: The Warrior's Code,1,True,True,Action,True,-100.0,65,2006,"Sony,Ubisoft"
Super Swing Golf,1,True,True,Sports,True,-100.0,72,2006,Unknown
X-Men: The Official Game,1,True,True,Action,True,12.5,52,2006,Activision
Untold Legends: Dark Kingdom,2,True,True,Action,True,-100.0,58,2006,"EA,Sony"
Happy Feet,2,True,True,Action,True,0.67,46,2006,Midway
Open Season,1,True,True,Action,True,3.5,72,2006,Ubisoft
Dungeon Siege: Throne of Agony,1,True,True,Role-Playing (RPG),True,17.22,74,2006,2K
LocoRoco,1,True,True,Action,True,5.0,83,2006,Sony
Dead or Alive: Xtreme 2,1,True,True,Racing / Driving,True,1.0,53,2006,Unknown
Fuzion Frenzy 2,4,True,True,Action,True,1.75,49,2006,Microsoft
MotoGP '06,4,True,True,Racing / Driving,True,-100.0,80,2006,THQ
Lumines II,2,True,True,Strategy,True,15.0,81,2006,Unknown
Major League Baseball 2K6,1,True,True,Sports,True,-100.0,69,2006,2K
Star Wars: Lethal Alliance,1,True,True,Action,True,5.0,61,2006,Ubisoft
Worms: Open Warfare,1,True,True,Action,True,8.25,70,2006,THQ
Eragon,4,True,True,Action,True,6.0,59,2006,Unknown
Metal Slug Anthology,4,True,True,Action,True,6.0,73,2006,Unknown
Open Season,4,True,True,Action,True,3.5,59,2006,Ubisoft
Tom Clancy's Splinter Cell: Double Agent,2,True,True,Action,True,11.0,61,2006,Ubisoft
Avatar: The Last Airbender,1,True,True,Action,True,6.0,57,2006,THQ
Lemmings,1,True,True,Strategy,True,21.62,76,2006,Sony
Mega Man Powered Up,1,True,True,Action,True,3.0,82,2006,Capcom
College Hoops 2K6,1,True,True,Sports,True,-100.0,70,2006,2K
Dynasty Warriors 5: Empires,2,True,True,Action,True,14.0,61,2006,Unknown
Magical Starsign,1,True,True,Role-Playing (RPG),True,25.83,69,2006,Nintendo
Resident Evil: Deadly Silence,1,True,True,Action,True,6.0,71,2006,Capcom
X-Men: The Official Game,1,True,True,Action,True,12.5,50,2006,Activision
Cabela's African Safari,1,True,True,Sports,True,-100.0,53,2006,Activision
Cabela's Alaskan Adventures,1,True,True,Sports,True,-100.0,48,2006,Activision
Armored Core 4,2,True,True,Action,True,23.0,65,2006,Sega
Eragon,2,True,True,Action,True,6.0,48,2006,Unknown
LostMagic,1,True,True,Action,True,13.0,68,2006,Ubisoft
Magnetica,1,True,True,Action,True,9.93,68,2006,Nintendo
Def Jam Fight for NY: The Takeover,1,True,True,Action,True,5.15,79,2006,EA
NASCAR 07,1,True,True,Racing / Driving,True,-100.0,66,2006,EA
The Ant Bully,1,True,True,Action,True,3.5700000000000003,45,2006,Midway
