Length,Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Short,Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,True,9.0,86,2007,Ubisoft
Short,Need for Speed: ProStreet,2,True,True,Racing / Driving,True,10.0,61,2007,EA
Short,Dance Dance Revolution Universe 2,4,True,True,Action,True,8.0,65,2007,Konami
Short,MX vs. ATV Untamed,2,True,True,Racing / Driving,True,12.0,70,2007,THQ
Average,Final Fantasy IV,1,True,True,Role-Playing (RPG),True,31.08,85,2007,SquareEnix
Short,The Simpsons Game,2,True,True,Action,True,0.87,64,2007,EA
Short,WWE Smackdown vs. Raw 2008,4,True,True,Sports,True,10.0,68,2007,THQ
Short,Tiger Woods PGA Tour 07,4,True,True,Sports,True,10.0,71,2007,EA
Short,Crash of the Titans,1,True,True,Action,True,7.5,73,2007,Unknown
Short,Medal of Honor: Airborne,2,True,True,Action,True,6.0,73,2007,EA
Short,Spider-Man 3,1,True,True,Action,True,9.67,53,2007,Activision
Long,Lost Odyssey,1,True,True,Role-Playing (RPG),True,50.0,78,2007,Microsoft
Short,Bee Movie Game,1,True,True,Adventure,True,5.92,58,2007,Activision
Short,Spider-Man 3,1,True,True,Action,True,9.67,79,2007,Activision
Average,Final Fantasy Tactics,1,True,True,Role-Playing (RPG),True,38.0,88,2007,SquareEnix
Short,Ratatouille,1,True,True,Action,True,10.0,62,2007,THQ
Short,Two Worlds,1,True,True,Action,True,15.75,50,2007,Unknown
Short,Crash of the Titans,2,True,True,Action,True,7.5,69,2007,Unknown
Short,Sonic the Hedgehog,2,True,True,Action,True,2.87,46,2007,Sega
Short,Mega Man Star Force: Dragon,1,True,True,Action,True,16.62,60,2007,Capcom
Short,Sonic the Hedgehog,2,True,True,Action,True,2.87,43,2007,Sega
Short,Harry Potter and the Order of the Phoenix,1,True,True,Action,True,10.0,69,2007,EA
Short,WWE Smackdown vs. Raw 2008,4,True,True,Sports,True,10.0,59,2007,THQ
Short,The Simpsons Game,2,True,True,Action,True,0.87,71,2007,EA
Short,DiRT,1,True,True,Racing / Driving,True,12.88,83,2007,Unknown
Short,Kane & Lynch: Dead Men,2,True,True,Action,True,6.0,65,2007,Eidos
Short,Jam Sessions,1,True,True,Educational,True,0.25,72,2007,Ubisoft
Average,Monster Hunter Freedom 2,1,True,True,Action,True,38.0,72,2007,Capcom
Short,Shadowrun,1,True,True,Action,True,20.0,66,2007,Microsoft
Short,Thrillville: Off the Rails,4,True,True,Simulation,True,8.5,70,2007,Unknown
Short,Tony Hawk's Proving Ground,2,True,True,Sports,True,8.13,73,2007,Activision
Average,The World Ends With You,1,True,True,Action,True,25.0,88,2007,SquareEnix
Short,The BIGS,4,True,True,Action,True,0.53,66,2007,2K
Short,NCAA Football 08,2,True,True,Sports,True,12.0,77,2007,EA
Long,Final Fantasy Tactics A2: Grimoire of the Rift,1,True,True,Role-Playing (RPG),True,50.0,80,2007,SquareEnix
Short,Beowulf: The Game,1,True,True,Action,True,10.5,51,2007,Ubisoft
Short,The Darkness,1,True,True,Action,True,9.5,82,2007,2K
Short,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,4,True,True,Action,True,8.75,84,2007,Ubisoft
Short,Final Fantasy,1,True,True,Role-Playing (RPG),True,16.95,67,2007,SquareEnix
Short,Lair,1,True,True,Action,True,8.97,53,2007,Sony
Short,Transformers: The Game,1,True,True,Action,True,5.0,53,2007,Activision
